COMPANYID,JOBTITLE,COMPANYNAME,RATING,JOBLOCATION,JOBSUMMARY,POSTDATE,EXTRACTIONDATE,POTENTIALCOMPENSATION
612,Sr Architect - Remote,Allscripts,3.6,Burlington,provide architecture expertise while collaboratively working with stakeholders in all areas of the business to help achieve company objectives.,15,2022-05-04,
613,Contract System Administrator,Veristat,4.1,Southborough,generate quarterly reporting of work orders/change orders to capture and help manage upcoming and missed volume in the contract pipeline.,30,2022-05-04,Full-time
614,"Product Manager, Molecular Diagnostics (remote)",Thermo Fisher Scientific,3.5,Boston,assess and evaluate market and competition to help develop and deploy key messages and communication strategies for the product line with marketing support team…,30,2022-05-04,Full-time
615,PwC Technology - SAP Architect (Remote),PRICE WATERHOUSE COOPERS,4.0,Boston,"you’ll focus on managing the design and implementation of technology infrastructure within pwc, developing and enhancing both client and internal facing…",30,2022-05-04,
616,Senior Project Manager,projekt202,,Boston,"our mission is to deliver better experiences for people everywhere. a great product is not enough. customers expect thoughtful, comprehensive experiences from…",30,2022-05-04,Full-time
617,PwC Technology - Salesforce Defect Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"a career in information technology, within internal firm services, will provide you with the opportunity to support our core business functions by deploying…",30,2022-05-04,
618,Senior Software Engineer - Infrastructure/Multi Cloud/Distri...,Aviatrix,,Boston,"who we are aviatrix is a well-funded, pre-ipo, hyper-growth enterprise-software company based in the heart of silicon valley (santa clara, ca). aviatrix…",30,2022-05-04,
619,IT Audit Manager,PRICE WATERHOUSE COOPERS,4.0,Boston,"a career in pwc's one firm risk organization (ofro) provides the opportunity to develop, interpret, inform and monitor areas of risk management which includes…",30,2022-05-04,
620,Program Manager,Carrier,3.9,Derry,"date posted: 2022-03-14-07:00 country: united states of america location: caenh: fs kidde fireye 3 manchester road, derry, nh, 03038 usa job…",30,2022-05-04,Full-time
621,Principal Systems Engineer,Recruiting From Scratch,,Hudson,"who is recruiting from scratch: recruiting from scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…",26,2022-05-04,"$149,000 - $181,000 a year"
622,Remote Salesforce Integration SEM,Valintry 360,4.9,Boston,"pay range $150,000 to $190,000 depending on experience and salesforce certifications responsibilities: conduct research into client's use of salesforce,…",6,2022-05-04,"$150,000 - $190,000 a year"
623,Applications Engineer - EMEA,HPR,4.0,Needham,"due to our exciting and rapid growth, hpr has a new and highly visible role for an applications engineer - emea to help us provide world-class customer…",30,2022-05-04,
624,"Director, Industry Marketing - Services & Distribution",UKG (Ultimate Kronos Group),4.1,Lowell,"description & qualifications description director, services & distribution industry marketing are you ready to help define the future of work within…",30,2022-05-04,Full-time
625,Product Manager/Strategy 5-ProdDev (REMOTE),Oracle,3.8,Nashua,"lead a team that acts as the central resource and driving force for the design, process, manufacturing, test, quality and marketing of product(s) as they move…",30,2022-05-04,
626,Senior Tools Engineer - 100% REMOTE,Virbela,2.5,Boston,general summary: virbela is looking for a highly-skilled senior tools engineer to join our technology team. our ideal candidate will have expert knowledge in …,26,2022-05-04,Full-time
627,Senior/Lead Engineer - Remote,Cantina,,Boston,"what we’re about: cantina crafts innovative experiences, products, and services for a connected world. we help organizations solve complex problems and take…",30,2022-05-04,Full-time
628,IT Solutions Architect,Iron Mountain,3.6,Providence,"at iron mountain we protect what our customers value most, from the everyday to the extraordinary, while helping them bridge the physical and digital world.…",29,2022-05-04,
629,PwC Technology - Workday Project Delivery Analyst - Human Ca...,PRICE WATERHOUSE COOPERS,4.0,Boston,"a career in information technology, within internal firm services, will provide you with the opportunity to support our core business functions by deploying…",30,2022-05-04,
630,"Senior Director, Customer Strategy & Effectiveness",Rapid7,3.8,Boston,"company description rapid7 (nasdaq: rpd) is advancing security with visibility, analytics, and automation delivered through our insight cloud. our solutions…",30,2022-05-04,Full-time
